"","pitch_name","pitch_hand","n","release_speed_mph_mean","effective_speed_mean","release_spin_rate_mean","release_pos_x_mean","release_pos_z_mean","extension_mean","arm_angle_mean","ax_mean","ay_mean","az_mean","vx0_mean","vy0_mean","vz0_mean","spin_axis_mean","pfx_x_mean","pfx_z_mean","api_break_x_arm_mean","VAA_mean","HAA_mean"
"1","4-Seam Fastball","L",62992,93.24,93.5,2266.09,-1.95,5.85,6.49,41.3,-9.85,29.59,-15.23,-6.6,-135.55,-4.81,143.9,-0.68,1.3,0.68,-4.83,-1.35
"2","4-Seam Fastball","R",161536,94.68,95.07,2309.62,-1.83,5.81,6.54,40.14,-9.35,30.41,-14.53,6.19,-137.67,-5.01,213.7,-0.63,1.31,0.63,-4.69,1.25
"3","Changeup","L",26060,84.22,84.37,1763.23,-1.98,5.78,6.41,37.63,-13.08,24.06,-26.75,-5.88,-122.46,-3.76,119.39,-1.18,0.49,1.18,-7.51,-0.25
"4","Changeup","R",46154,86.15,86.44,1826.38,-1.9,5.72,6.47,36.85,-13.72,24.95,-27.29,6.16,-125.28,-3.9,239.5,-1.18,0.41,1.18,-7.4,0.31
"5","Curveball","L",13524,78.44,78.46,2443.12,-1.88,5.93,6.37,44.48,5.32,21.83,-38.09,-2.98,-114.16,-0.78,316.61,0.69,-0.68,-0.69,-9.66,-2.94
"6","Curveball","R",32809,79.82,79.84,2621.8,-1.73,5.95,6.42,43.28,6.78,22.96,-39.56,2.56,-116.17,-0.75,44.65,0.82,-0.82,-0.82,-9.7,2.98
"7","Cutter","L",12050,87.99,88.25,2319.33,-1.86,5.88,6.3,41.02,0.87,24.9,-24.93,-5.04,-128.06,-3.77,173.44,0.17,0.6,-0.17,-6.58,-2.61
"8","Cutter","R",45564,89.92,90.39,2416.49,-1.76,5.84,6.43,40.72,1.58,26.15,-23.51,4.71,-130.89,-3.92,180.34,0.22,0.69,-0.22,-6.17,2.54
"9","Forkball","L",70,83.79,84.79,1051.69,-0.69,5.89,6.87,54.26,-7.34,23.78,-27.84,-1.89,-122.01,-2.86,137.33,-0.7,0.4,0.7,-7.32,0.59
"10","Forkball","R",78,80.46,80.72,886.44,-1.53,5.9,6.46,40.75,-5.71,22.09,-32.55,4.31,-117.09,-2.14,276.54,-0.53,-0.07,0.53,-8.58,0.97
"11","Knuckle Curve","L",3015,80.73,80.75,2290.37,-1.81,6.27,6.24,46.46,1.87,21.86,-37.6,-3.85,-117.52,-2.42,288.49,0.29,-0.62,-0.29,-9.8,-2.47
"12","Knuckle Curve","R",8567,82.21,82.38,2499.5,-1.82,5.82,6.5,40.95,5.41,24.18,-40,3.31,-119.64,-1.26,42.53,0.65,-0.84,-0.65,-9.51,2.96
"13","Sinker","L",32229,92.66,92.72,2126.75,-2.11,5.71,6.39,33.2,-17.02,29.21,-23.13,-7.7,-134.65,-4.08,132.9,-1.26,0.68,1.26,-5.92,-0.6
"14","Sinker","R",79993,93.61,93.85,2154.85,-1.93,5.59,6.45,32.29,-16.94,29.52,-23.86,7.25,-136.08,-3.96,225.34,-1.23,0.61,1.23,-5.87,0.44
"15","Slider","L",26600,84.44,84.72,2381.14,-2.14,5.81,6.43,38.88,3.2,23.98,-30.36,-4.98,-122.87,-3.1,248.52,0.42,0.13,-0.42,-7.9,-3.22
"16","Slider","R",85535,85.98,86.33,2450.38,-1.93,5.74,6.44,38.19,3.44,24.53,-30.35,4.74,-125.13,-3.17,109.42,0.42,0.13,-0.42,-7.65,3.07
"17","Slurve","L",841,80.27,80.35,2274.39,-2.13,5.2,6.48,30.66,6.42,23.33,-36.55,-3.36,-116.8,0.5,313.96,0.78,-0.44,-0.78,-8.21,-3.3
"18","Slurve","R",1780,82.33,81.85,2558.71,-1.85,5.52,6.11,36.41,11.42,24.81,-35.77,2.96,-119.82,-1.09,44.98,1.27,-0.38,-1.27,-8.48,4.09
"19","Split-Finger","L",2063,84.74,85.17,1152.47,-2.19,5.72,6.51,44.8,-8.28,23.77,-26.34,-5.6,-123.26,-3.92,131.06,-0.71,0.52,0.71,-7.4,-1.11
"20","Split-Finger","R",19237,86.5,86.88,1318.15,-1.86,5.75,6.51,38.26,-10.62,25,-29.24,5.75,-125.81,-3.92,241.13,-0.88,0.22,0.88,-7.73,0.73
"21","Sweeper","L",9632,80.35,80.14,2492.08,-2.27,5.4,6.25,28.99,9.97,23.17,-31.45,-3.57,-116.92,-0.95,292.1,1.18,0.08,-1.18,-7.79,-4.23
"22","Sweeper","R",33104,82.3,82.43,2600.35,-2.07,5.48,6.45,30.95,10.66,24.03,-30.78,3.54,-119.78,-1.61,66.78,1.19,0.13,-1.19,-7.62,4.21
